id,category,topic,age_min_months,age_max_months,title,content,tips,avoid,keywords,questions,medical_disclaimer,source_id,source_section
KB0001,Phát triển xã hội và cảm xúc,Mốc phát triển,2,2,Mốc xã hội – cảm xúc ở 2 tháng,Bình tĩnh hơn khi được nói chuyện hoặc bế lên. Nhìn vào khuôn mặt người chăm sóc. Tỏ ra vui khi người quen tiến lại gần. Mỉm cười khi được nói chuyện hoặc được cười với.,[],[],"[""bé 2 tháng"", ""mốc phát triển"", ""phát triển xã hội và cảm xúc""]","[""Bé 2 tháng thường làm được gì về phát triển xã hội và cảm xúc?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,2 months – social
KB0002,Ngôn ngữ và giao tiếp,Mốc phát triển,2,2,Mốc ngôn ngữ – giao tiếp ở 2 tháng,Phát ra âm thanh ngoài tiếng khóc. Phản ứng với âm thanh lớn.,[],[],"[""bé 2 tháng"", ""mốc phát triển"", ""ngôn ngữ và giao tiếp""]","[""Bé 2 tháng thường làm được gì về ngôn ngữ và giao tiếp?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,2 months – language
KB0003,Nhận thức,Mốc phát triển,2,2,Mốc nhận thức ở 2 tháng,Dõi theo người chăm sóc khi họ di chuyển. Nhìn một món đồ chơi trong vài giây.,[],[],"[""bé 2 tháng"", ""mốc phát triển"", ""nhận thức""]","[""Bé 2 tháng thường làm được gì về nhận thức?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,2 months – cognitive
KB0004,Vận động,Mốc phát triển,2,2,Mốc vận động và thể chất ở 2 tháng,Ngẩng đầu khi nằm sấp. Cử động cả hai tay và hai chân. Thỉnh thoảng mở bàn tay.,[],[],"[""bé 2 tháng"", ""mốc phát triển"", ""vận động""]","[""Bé 2 tháng thường làm được gì về vận động?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,2 months – physical
KB0005,Hoạt động và mẹo,Hỗ trợ phát triển,2,2,Cách hỗ trợ trẻ 2 tháng học và phát triển,"Ưu tiên giao tiếp bằng giọng nói, ánh mắt, ôm ấp và đáp lại âm thanh khi trẻ tỉnh táo, đồng thời dừng khi trẻ mệt hoặc quay đi.","[""Phản hồi tích cực khi bé phát ra âm thanh: tỏ ra hào hứng, mỉm cười và nói chuyện để bé học cách luân phiên giao tiếp."", ""Thường xuyên nói chuyện, đọc và hát cho bé nghe để hỗ trợ phát triển ngôn ngữ."", ""Ôm ấp và bế bé giúp bé cảm thấy an toàn; đáp ứng nhu cầu của bé không làm bé hư."", ""Chú ý và đáp ứng tín hiệu của bé; hạn chế nhìn màn hình khi đang ở bên bé."", ""Người chăm sóc cũng cần nghỉ ngơi và chăm sóc bản thân."", ""Quan sát tín hiệu cho thấy bé muốn tương tác hoặc cần nghỉ, như nhìn và phát âm, quay đầu đi, ngáp hay quấy."", ""Cho bé nằm sấp khi thức, đặt đồ chơi ngang tầm mắt và luôn giám sát. Khi buồn ngủ, đặt bé nằm ngửa trên mặt nệm phẳng, chắc, không có gối, chăn rời, đệm chắn hay đồ chơi."", ""Trong khoảng 6 tháng đầu, chỉ cho bé bú sữa mẹ hoặc sữa công thức phù hợp; chưa cho ăn thức ăn khác, uống nước hay đồ uống khác."", ""Nhận biết dấu hiệu đói như đưa tay lên miệng, quay đầu tìm vú hoặc bình, chép hay liếm môi."", ""Nhận biết dấu hiệu no như ngậm miệng hoặc quay đầu khỏi vú/bình; có thể dừng cho bú khi bé không còn đói."", ""Tuyệt đối không rung lắc trẻ. Khi quá căng thẳng vì trẻ khóc, đặt trẻ ở nơi an toàn, rời ra để bình tĩnh và kiểm tra lại sau 5–10 phút."", ""Duy trì trình tự tương đối ổn định cho ăn và ngủ để bé dần biết điều gì sắp xảy ra.""]",[],"[""tips bé 2 tháng"", ""chơi với bé 2 tháng"", ""nuôi dạy trẻ""]","[""Nên chơi và tương tác với bé 2 tháng như thế nào?"", ""Có mẹo gì để hỗ trợ bé 2 tháng phát triển?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,2 months – tips
KB0006,Phát triển xã hội và cảm xúc,Mốc phát triển,4,4,Mốc xã hội – cảm xúc ở 4 tháng,"Tự mỉm cười để thu hút sự chú ý. Khúc khích khi được chọc cười. Nhìn, cử động hoặc phát âm để thu hút và duy trì sự chú ý.",[],[],"[""bé 4 tháng"", ""mốc phát triển"", ""phát triển xã hội và cảm xúc""]","[""Bé 4 tháng thường làm được gì về phát triển xã hội và cảm xúc?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,4 months – social
KB0007,Ngôn ngữ và giao tiếp,Mốc phát triển,4,4,Mốc ngôn ngữ – giao tiếp ở 4 tháng,"Ê a những âm như “u”, “a”. Phát âm đáp lại khi người lớn nói chuyện. Quay đầu về phía giọng nói.",[],[],"[""bé 4 tháng"", ""mốc phát triển"", ""ngôn ngữ và giao tiếp""]","[""Bé 4 tháng thường làm được gì về ngôn ngữ và giao tiếp?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,4 months – language
KB0008,Nhận thức,Mốc phát triển,4,4,Mốc nhận thức ở 4 tháng,Há miệng khi thấy vú hoặc bình nếu đang đói. Nhìn bàn tay của mình với vẻ thích thú.,[],[],"[""bé 4 tháng"", ""mốc phát triển"", ""nhận thức""]","[""Bé 4 tháng thường làm được gì về nhận thức?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,4 months – cognitive
KB0009,Vận động,Mốc phát triển,4,4,Mốc vận động và thể chất ở 4 tháng,Giữ đầu ổn định khi được bế mà không cần đỡ. Giữ đồ chơi khi được đặt vào tay. Vung tay về phía đồ chơi. Đưa tay lên miệng. Chống khuỷu tay hoặc cẳng tay khi nằm sấp.,[],[],"[""bé 4 tháng"", ""mốc phát triển"", ""vận động""]","[""Bé 4 tháng thường làm được gì về vận động?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,4 months – physical
KB0010,Hoạt động và mẹo,Hỗ trợ phát triển,4,4,Cách hỗ trợ trẻ 4 tháng học và phát triển,"Tạo các lượt giao tiếp qua lại và cơ hội với, đá, cầm cùng khám phá vật an toàn trong khoảng thời gian chơi ngắn.","[""Phản hồi tích cực và bắt chước âm thanh của bé để tạo cuộc trò chuyện qua lại."", ""Tạo cơ hội an toàn để bé với, đá vào đồ chơi và khám phá xung quanh, chẳng hạn nằm trên thảm với đồ chơi phù hợp."", ""Cho bé khám phá bằng miệng với vật an toàn, không sắc, nóng hoặc đủ nhỏ để gây hóc."", ""Nói chuyện, đọc và hát cho bé nghe hằng ngày."", ""Chỉ dùng màn hình để gọi video với người thân; trẻ dưới 2 tuổi học tốt nhất qua trò chuyện, chơi và tương tác trực tiếp."", ""Trong khoảng 6 tháng đầu, chỉ cho bú sữa mẹ hoặc sữa công thức phù hợp."", ""Chọn đồ chơi nhẹ, dễ cầm như xúc xắc hoặc sách vải phù hợp lứa tuổi."", ""Cho bé có thời gian vận động và tương tác; tránh để quá lâu trong xích đu, xe đẩy hoặc ghế rung."", ""Thiết lập nếp ngủ và cho ăn tương đối ổn định."", ""Khi bé nằm ngửa, di chuyển chậm một đồ chơi màu nổi từ trái sang phải và lên xuống để khuyến khích dõi mắt."", ""Hát và trò chuyện khi nhẹ nhàng co duỗi tay chân cho bé trong vài phút.""]",[],"[""tips bé 4 tháng"", ""chơi với bé 4 tháng"", ""nuôi dạy trẻ""]","[""Nên chơi và tương tác với bé 4 tháng như thế nào?"", ""Có mẹo gì để hỗ trợ bé 4 tháng phát triển?""]","Thông tin này không thay thế tư vấn, chẩn đoán hoặc điều trị của bác sĩ hay nhân viên y tế.",SRC01,4 months – tips
